StudentNumber,Gender,Year,Semester,CourseCode,LetterGrade,TotalGrade,GradeonDiscussionForumAccumulatedpoints,GradeonDiscussionLeader,GradeonAssignment1,GradeonAssignment2,GradeonFinalPaper,TotalTimeStudentsspentinCourseonSundays,TotalTimeStudentsspentinCourseonMondays,TotalTimeStudentsspentinCourseonTuesdays,TotalTimeStudentsspentinCourseonWednesdays,TotalTimeStudentsspentinCourseonThursdays,TotalTimeStudentsspentinCourseonFridays,TotalTimeStudentsspentinCourseonSaturdays,TotalTimeStudentsspentinCourseinHours,AverageTimeinCourseinHours,TotalLogins,TotalitemsAccessed,TotaltimespentonAssignment1inHours,NumberofTimesAssignment1Accessed,TotaltimespentonAssignment2inHours,NumberofTimesAssignment2Accessed,TotaltimespentonAssignmentscontentfolderinHours,NumberofTimesAssignmentscontentfolderAccessed,TotaltimespentonFinalPaperinHours,NumberofTimesFinalPaperAccessed,TotaltimespentonReadingfortheCourse,NumberofTimesReadingforthecourseAccessed,TotaltimespentonWeek1Readingsinhrs,NumberofTimesWeek1RdgsAccessed,TotaltimespentonWeek2Readingsinhrs,NumberofTimesWeek2RdgsAccessed,TotaltimespentonWeek3Readingsinhrs,NumberofTimesWeek3RdgsAccessed,TotaltimespentonWeek4Readingsinhrs,NumberofTimesWeek4RdgsAccessed,TotaltimespentonWeek5Readingsinhrs,NumberofTimesWeek5RdgsAccessed,TotaltimespentonWeek6Readingsinhrs,NumberofTimesWeek6RdgsAccessed,TotaltimespentonWeek7Readingsinhrs,NumberofTimesWeek7RdgsAccessed,TotaltimespentonWeek8Readingsinhrs,NumberofTimesWeek8RdgsAccessed,TotaltimespentonWeek9Readingsinhrs,NumberofTimesWeek9RdgsAccessed,TotaltimespentonWeek10Readingsinhrs,NumberofTimesWeek10RdgsAccessed,TotaltimespentonSyllabusinhrs,NumberofTimesSyllabusAccessed,TotaltimespentonWeeklyContentinhrs,NumberofTimesWeeklyContentAccessed,TotaltimespentonWeeklyContentforWeeks9and10,NumberofTimesWeeklycontentwk9andwk10Accessed,TotalHitsonContentAreaApp,TotalHitsinsideContentAreas,HitsonContent,HitsonInformation,HitsonBboardHelp,HitsonAssignment,HitsonCourseResources,HitsonQuiz,HitsonSyllabus,HitsonDocuments,HitsonReadings,Hitsonbooks,HitsonEReserves,HitsonFinalPaper,HitsonMessages,HitsonFirstSteps,HitsonRoster,hitsonParticipation,HitsonSubmittingWork,HitsonWebLinksampother,HitsonTasks,HitsonWebSitesampother,HitsonStaffInformation,HitsonToolsAreaApp,TotalHitsonMyGradesApp,TotalHitsonAnnouncementApp,TotalHitsonDBApp,DBDiscussionLeaderSignupboardMFhits,DBGeneralQuestionsMFhits,DBIntroductionMFhits,DBWaterCoolerMFHits,DBWeek1MFhits,DBWeek2MFhits,DBWeek3MFhits,DBWeek4MFhits,DBWeek5MFhits,DBWeek6MFhits,DBWeek7MFhits,DBWeek8MFhits,DBWeek9MFhits,DBWeek10MFhits,TotalDBMFhits,DBDiscussionLeaderSignupboardNumberofposts,DBGeneralQuestionsNumberofposts,DBIntroductionNumberofposts,DBWaterCoolerNumberofposts,DBWeek1Numberofposts,DBWeek2Numberofposts,DBWeek3Numberofposts,DBWeek4Numberofposts,DBWeek5Numberofposts,DBWeek6Numberofposts,DBWeek7Numberofposts,DBWeek8Numberofposts,DBWeek9Numberofposts,DBWeek10Numberofposts,TotalNumberofDBposts,logtotaltimestudentspentincourse,ReflectlogGrades,LogGradeonDiscussLeader,sqrtgradeonasgnmt1,Loggradeonasgnmt2,LogTotalHitsonContentAreaApp,LogTotalHitsinsideContentAreas,loghitsonassignment,logthitsoncourseresources,loghitsonquiz,loghitsonsyllabus,loghitsondocuments,sqrthitsonweblinksandothers,LogHitsonWebsitesandOthers,SqrtHitsonStaffInformation,SqrtHitsonToolsAreaApp,SqrtTotalHitsonMyGradesApp,LogTotalHitsonAnnouncementApp,LogTotalHitsonDBApp,InvDB?GeneralQuestionsMFhits,SqrtDBIntroMFhits,LogDBWaterCoolerMFhits,LogDBWeek1MFhits,LogDBWeek2MFhits,LogDBWeek3MFhits,LogDBWeek4MFhits,LogDBWeek5MFhits,LogDBWeek6MFhits,LogDBWeek7MFhits,LogDBWeek8MFhits,LogDBWeek9MFhits,LogDBWeek10MFhits,LogTotalDBMFhits,InvDBGeneralQuestionsNumberofposts,InvDBWaterCoolerNumberofposts,LogDBIntroductionNumberofposts,LogDBWk1NumberofPosts,LogDBWk2NumberofPosts,LogDBWk3NumberofPosts,LogDBWeek4Numberofposts,LogDBWeek5Numberofposts,LogDBWeek6Numberofposts,LogDBWeek7Numberofposts,LogDBWeek8Numberofposts,LogDBWeek9Numberofposts,LogDBWeek10Numberofposts,LogTotalNumberofDBposts,StudentDuplicateCases
1,1,2014,Spring,1,A,95,22,15,15,14,29,10,1,5,18,6,1,0,40,6,86,14,3,1,0,1,3,18,0,1,2,30,0,0,1,3,0,0,1,7,2,4,1,4,0,0,1,3,1,1,1,1,4,10,4,42,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,1,0,2,3,6,3,2,5,3,12,5,1,44,1,0,1,0,2,3,6,3,2,5,3,12,5,6,49,1.61,0.78,1.18,3.87,1.15,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,0.3,0.48,0.78,0.48,0.3,0.7,0.48,1.08,0.7,0,1.64,#NULL!,#NULL!,0,0.3,0.48,0.78,0.48,0.3,0.7,-0.32,1.08,0.7,0.78,1.69,1
2,2,2014,Spring,1,A-,92,24,14,15,14,25,4,0,2,4,1,1,5,17,2,48,14,0,3,0,3,3,17,0,1,0,20,0,0,0,3,0,0,0,1,0,3,0,2,0,0,0,3,0,2,0,2,0,2,0,18,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,1,0,2,4,3,4,4,4,4,4,8,2,41,#NULL!,0,1,0,2,4,3,4,4,4,4,5,8,4,43,1.23,0.95,1.15,3.87,1.15,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,0.3,0.6,0.48,0.6,0.6,0.6,0.6,0.6,0.9,0.3,1.61,#NULL!,#NULL!,0,0.3,0.6,0.48,0.6,0.6,0.6,-0.22,0.7,0.9,0.6,1.63,0
3,2,2014,Spring,1,A,98,24,16,15,15,28,6,2,3,6,4,3,7,32,5,82,14,0,2,0,4,0,18,0,3,1,42,#NULL!,#NULL!,1,6,0,0,1,7,2,9,0,0,0,0,1,2,0,3,0,1,0,6,1,21,0,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,0,0,0,3,3,6,5,15,6,8,7,7,1,61,1,0,1,0,3,3,6,5,14,6,8,7,7,8,69,1.51,0.48,1.2,3.87,1.18,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,#NULL!,0.48,0.48,0.78,0.7,1.18,0.78,0.9,0.85,0.85,0,1.79,#NULL!,#NULL!,0,0.48,0.48,0.78,0.7,1.18,0.78,-0.04,0.85,0.85,0.9,1.84,1
4,2,2014,Spring,1,B+,87,19,15,13,12,27,9,0,1,12,11,2,3,37,5,81,15,0,3,0,1,11,24,0,0,1,41,0,0,1,11,0,0,0,5,0,2,0,2,0,0,0,3,0,0,0,2,0,7,2,46,0,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,2,0,5,6,7,2,0,4,5,5,5,1,43,#NULL!,0,2,0,5,6,7,2,0,4,5,5,5,5,46,1.57,1.15,1.18,3.61,1.08,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.41,#NULL!,0.7,0.78,0.85,0.3,#NULL!,0.6,0.7,0.7,0.7,0,1.63,#NULL!,#NULL!,0.3,0.7,0.78,0.85,0.3,#NULL!,0.6,-0.16,0.7,0.7,0.7,1.66,0
5,2,2014,Spring,1,C-,71,13,10,12,11,25,3,9,11,15,11,6,6,61,9,109,15,0,4,0,2,4,47,0,1,1,74,0,0,0,20,0,0,1,9,3,6,0,5,0,0,1,3,1,4,1,9,0,5,2,64,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,0,3,6,3,6,5,2,2,2,2,3,38,2,1,1,0,3,6,3,6,5,2,2,2,2,3,38,1.78,1.48,1,3.46,1.04,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,#NULL!,0.48,0.78,0.48,0.78,0.7,0.3,0.3,0.3,0.3,0.48,1.58,1,#NULL!,0,0.48,0.78,0.48,0.78,0.7,0.3,-0.52,0.3,0.3,0.48,1.58,1
6,2,2014,Spring,1,A,95,24,15,14,15,27,14,4,6,16,18,12,15,84,12,74,11,0,1,0,1,1,8,0,0,0,10,0,0,0,2,0,0,1,1,0,0,0,4,#NULL!,#NULL!,0,0,0,0,0,1,0,10,12,49,0,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,0,5,5,6,5,5,5,7,15,4,1,62,2,1,1,0,5,5,6,5,5,5,7,15,4,6,67,1.92,0.78,1.18,3.74,1.18,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,#NULL!,0.7,0.7,0.78,0.7,0.7,0.7,0.85,1.18,0.6,0,1.79,1,#NULL!,0,0.7,0.7,0.78,0.7,0.7,0.7,-0.07,1.18,0.6,0.78,1.83,1
7,2,2014,Spring,1,B,86,20,15,13,12,26,1,4,2,7,1,0,2,18,3,46,14,2,4,0,2,2,15,0,2,0,4,0,0,0,2,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,3,2,16,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,2,0,3,2,5,4,3,3,2,2,4,7,38,1,#NULL!,2,0,3,2,5,4,3,3,2,2,4,10,41,1.24,1.18,1.18,3.61,1.08,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.41,#NULL!,0.48,0.3,0.7,0.6,0.48,0.48,0.3,0.3,0.6,0.85,1.58,#NULL!,#NULL!,0.3,0.48,0.3,0.7,0.6,0.48,0.48,-0.52,0.3,0.6,1,1.61,1
8,2,2014,Spring,1,B+,87,18,15,14,14,26,2,5,6,8,5,3,0,30,4,66,14,0,2,0,3,1,14,0,1,0,19,#NULL!,#NULL!,0,4,#NULL!,#NULL!,0,4,0,3,0,2,#NULL!,#NULL!,0,1,0,1,#NULL!,#NULL!,3,5,0,16,0,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,1,1,5,4,3,5,2,5,2,5,8,1,43,1,#NULL!,2,1,5,4,3,5,2,5,2,5,8,2,45,1.47,1.15,1.18,3.74,1.15,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,0.7,0.6,0.48,0.7,0.3,0.7,0.3,0.7,0.9,0,1.63,#NULL!,1,0.3,0.7,0.6,0.48,0.7,0.3,0.7,-0.52,0.7,0.9,0.3,1.65,1
9,2,2014,Spring,1,B+,87,20,13,13,15,26,4,5,2,4,5,1,0,21,3,56,14,0,2,0,1,1,14,0,1,0,13,0,0,0,5,0,0,2,3,0,2,0,4,0,0,0,0,0,0,0,0,0,4,1,22,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,1,0,3,4,3,3,3,3,6,3,3,3,36,1,#NULL!,2,0,3,4,3,3,3,3,6,3,3,3,37,1.32,1.15,1.11,3.61,1.18,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,0.48,0.6,0.48,0.48,0.48,0.48,0.78,0.48,0.48,0.48,1.56,#NULL!,#NULL!,0.3,0.48,0.6,0.48,0.48,0.48,0.48,-0.11,0.48,0.48,0.48,1.57,1
10,2,2014,Spring,1,A,96,24,14,14,15,29,2,4,4,5,1,4,2,22,3,88,15,0,9,0,2,1,29,0,1,3,17,0,0,0,2,0,0,0,1,0,2,2,6,0,0,0,1,0,2,0,3,0,3,2,38,0,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,3,0,6,7,7,9,6,6,7,8,7,1,71,1,3,4,0,6,7,6,9,6,6,7,8,7,6,76,1.35,0.7,1.15,3.74,1.18,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.33,1.73,#NULL!,0.78,0.85,0.85,0.95,0.78,0.78,0.85,0.9,0.85,0,1.85,0.33,#NULL!,0.6,0.78,0.85,0.78,0.95,0.78,0.78,-0.07,0.9,0.85,0.78,1.88,1
