StudentNumber,Gender,Year,Semester,CourseCode,TotalGrade,GradeonDiscussionForumAccumulatedpoints,GradeonDiscussionLeader,GradeonAssignment1,GradeonAssignment2,GradeonFinalPaper,TotalTimeStudentsspentinCourseonSundays,TotalTimeStudentsspentinCourseonMondays,TotalTimeStudentsspentinCourseonTuesdays,TotalTimeStudentsspentinCourseonWednesdays,TotalTimeStudentsspentinCourseonThursdays,TotalTimeStudentsspentinCourseonFridays,TotalTimeStudentsspentinCourseonSaturdays,TotalTimeStudentsspentinCourseinHours,AverageTimeinCourseinHours,TotalLogins,TotalitemsAccessed,TotaltimespentonAssignment1inHours,NumberofTimesAssignment1Accessed,TotaltimespentonAssignment2inHours,NumberofTimesAssignment2Accessed,TotaltimespentonAssignmentscontentfolderinHours,NumberofTimesAssignmentscontentfolderAccessed,TotaltimespentonFinalPaperinHours,NumberofTimesFinalPaperAccessed,TotaltimespentonReadingfortheCourse,NumberofTimesReadingforthecourseAccessed,TotaltimespentonWeek1Readingsinhrs,NumberofTimesWeek1RdgsAccessed,TotaltimespentonWeek2Readingsinhrs,NumberofTimesWeek2RdgsAccessed,TotaltimespentonWeek3Readingsinhrs,NumberofTimesWeek3RdgsAccessed,TotaltimespentonWeek4Readingsinhrs,NumberofTimesWeek4RdgsAccessed,TotaltimespentonWeek5Readingsinhrs,NumberofTimesWeek5RdgsAccessed,TotaltimespentonWeek6Readingsinhrs,NumberofTimesWeek6RdgsAccessed,TotaltimespentonWeek7Readingsinhrs,NumberofTimesWeek7RdgsAccessed,TotaltimespentonWeek8Readingsinhrs,NumberofTimesWeek8RdgsAccessed,TotaltimespentonWeek9Readingsinhrs,NumberofTimesWeek9RdgsAccessed,TotaltimespentonWeek10Readingsinhrs,NumberofTimesWeek10RdgsAccessed,TotaltimespentonSyllabusinhrs,NumberofTimesSyllabusAccessed,TotaltimespentonWeeklyContentinhrs,NumberofTimesWeeklyContentAccessed,TotaltimespentonWeeklyContentforWeeks9and10,NumberofTimesWeeklycontentwk9andwk10Accessed,TotalHitsonContentAreaApp,TotalHitsinsideContentAreas,HitsonContent,HitsonInformation,HitsonBboardHelp,HitsonAssignment,HitsonCourseResources,HitsonQuiz,HitsonSyllabus,HitsonDocuments,HitsonReadings,Hitsonbooks,HitsonEReserves,HitsonFinalPaper,HitsonMessages,HitsonFirstSteps,HitsonRoster,hitsonParticipation,HitsonSubmittingWork,HitsonWebLinksampother,HitsonTasks,HitsonWebSitesampother,HitsonStaffInformation,HitsonToolsAreaApp,TotalHitsonMyGradesApp,TotalHitsonAnnouncementApp,TotalHitsonDBApp,DBDiscussionLeaderSignupboardMFhits,DBGeneralQuestionsMFhits,DBIntroductionMFhits,DBWaterCoolerMFHits,DBWeek1MFhits,DBWeek2MFhits,DBWeek3MFhits,DBWeek4MFhits,DBWeek5MFhits,DBWeek6MFhits,DBWeek7MFhits,DBWeek8MFhits,DBWeek9MFhits,DBWeek10MFhits,TotalDBMFhits,DBDiscussionLeaderSignupboardNumberofposts,DBGeneralQuestionsNumberofposts,DBIntroductionNumberofposts,DBWaterCoolerNumberofposts,DBWeek1Numberofposts,DBWeek2Numberofposts,DBWeek3Numberofposts,DBWeek4Numberofposts,DBWeek5Numberofposts,DBWeek6Numberofposts,DBWeek7Numberofposts,DBWeek8Numberofposts,DBWeek9Numberofposts,DBWeek10Numberofposts,TotalNumberofDBposts,TotalUserActivityInsideContentAreas
1,#NULL!,2014,Spring,1,95,22.0000,15,15,14,29,10,1,5,18,6,1,0,40,6,86,14,3,1,0,1,3,18,0,1,2,30,0,0,1,3,0,0,1,7,2,4,1,4,0,0,1,3,1,1,1,1,4,10,4,42,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,0.0,1,0,2.0,3.0,6.0,3.0,2.0,5.0,3.0,12.0,5.0,1,44.0,1,0,1,0,2,3,6,3,2,5,3,12,5,6,49,#NULL!
2,#NULL!,2014,Spring,1,92,24.0000,14,15,14,25,4,0,2,4,1,1,5,17,2,48,14,0,3,0,3,3,17,0,1,0,20,0,0,0,3,0,0,0,1,0,3,0,2,0,0,0,3,0,2,0,2,0,2,0,18,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,0.0,1,0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,8.0,2,41.0,#NULL!,0,1,0,2,4,3,4,4,4,4,5,8,4,43,#NULL!
3,#NULL!,2014,Spring,1,98,24.0000,16,15,15,28,6,2,3,6,4,3,7,32,5,82,14,0,2,0,4,0,18,0,3,1,42,#NULL!,#NULL!,1,6,0,0,1,7,2,9,0,0,0,0,1,2,0,3,0,1,0,6,1,21,0,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,0.0,0,0,3.0,3.0,6.0,5.0,15.0,6.0,8.0,7.0,7.0,1,61.0,1,0,1,0,3,3,6,5,14,6,8,7,7,8,69,#NULL!
4,#NULL!,2014,Spring,1,87,19.0000,15,13,12,27,9,0,1,12,11,2,3,37,5,81,15,0,3,0,1,11,24,0,0,1,41,0,0,1,11,0,0,0,5,0,2,0,2,0,0,0,3,0,0,0,2,0,7,2,46,0,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,0.0,2,0,5.0,6.0,7.0,2.0,0.0,4.0,5.0,5.0,5.0,1,43.0,#NULL!,0,2,0,5,6,7,2,0,4,5,5,5,5,46,#NULL!
5,#NULL!,2014,Spring,1,71,13.0000,10,12,11,25,3,9,11,15,11,6,6,61,9,109,15,0,4,0,2,4,47,0,1,1,74,0,0,0,20,0,0,1,9,3,6,0,5,0,0,1,3,1,4,1,9,0,5,2,64,0,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.0,1.0,1,0,3.0,6.0,3.0,6.0,5.0,2.0,2.0,2.0,2.0,3,38.0,2,1,1,0,3,6,3,6,5,2,2,2,2,3,38,#NULL!
6,#NULL!,2014,Spring,1,95,24.0000,15,14,15,27,14,4,6,16,18,12,15,84,12,74,11,0,1,0,1,1,8,0,0,0,10,0,0,0,2,0,0,1,1,0,0,0,4,#NULL!,#NULL!,0,0,0,0,0,1,0,10,12,49,0,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.0,1.0,1,0,5.0,5.0,6.0,5.0,5.0,5.0,7.0,15.0,4.0,1,62.0,2,1,1,0,5,5,6,5,5,5,7,15,4,6,67,#NULL!
7,#NULL!,2014,Spring,1,86,20.0000,15,13,12,26,1,4,2,7,1,0,2,18,3,46,14,2,4,0,2,2,15,0,2,0,4,0,0,0,2,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,3,2,16,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,0.0,2,0,3.0,2.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,7,38.0,1,#NULL!,2,0,3,2,5,4,3,3,2,2,4,10,41,#NULL!
8,#NULL!,2014,Spring,1,87,18.0000,15,14,14,26,2,5,6,8,5,3,0,30,4,66,14,0,2,0,3,1,14,0,1,0,19,#NULL!,#NULL!,0,4,#NULL!,#NULL!,0,4,0,3,0,2,#NULL!,#NULL!,0,1,0,1,#NULL!,#NULL!,3,5,0,16,0,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,0.0,1,1,5.0,4.0,3.0,5.0,2.0,5.0,2.0,5.0,8.0,1,43.0,1,#NULL!,2,1,5,4,3,5,2,5,2,5,8,2,45,#NULL!
9,#NULL!,2014,Spring,1,87,20.0000,13,13,15,26,4,5,2,4,5,1,0,21,3,56,14,0,2,0,1,1,14,0,1,0,13,0,0,0,5,0,0,2,3,0,2,0,4,0,0,0,0,0,0,0,0,0,4,1,22,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,0.0,1,0,3.0,4.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,3,36.0,1,#NULL!,2,0,3,4,3,3,3,3,6,3,3,3,37,#NULL!
10,#NULL!,2014,Spring,1,96,24.0000,14,14,15,29,2,4,4,5,1,4,2,22,3,88,15,0,9,0,2,1,29,0,1,3,17,0,0,0,2,0,0,0,1,0,2,2,6,0,0,0,1,0,2,0,3,0,3,2,38,0,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.0,3.0,3,0,6.0,7.0,7.0,9.0,6.0,6.0,7.0,8.0,7.0,1,71.0,1,3,4,0,6,7,6,9,6,6,7,8,7,6,76,#NULL!
